"Category ID","Category","Group ID","Group","Subgroup ID","Subgroup","Occupation ID","Occupation","Year","Quarter ID","Quarter","Workforce","Workforce Growth","Workforce Growth Value","percentage","lastPeriod","RCA"
1,"Funcionarios, Directores y Jefes",12,"Directores y Gerentes en Servicios Financieros, Administrativos y Sociales",121,"Directores y Gerentes en Servicios Financieros y Administrativos","1211","Directores y Gerentes en Administración, Recursos Humanos y Mercadotecnia",2025,20251,"2025-Q1",845,1,845,0.007083696599825632,0,2.8583243303
1,"Funcionarios, Directores y Jefes",13,"Directores y Gerentes en Producción, Tecnología y Transporte",131,"Directores y Gerentes en Producción Agropecuaria, Industrial, Construcción y Mantenimiento","1311","Directores y Gerentes en Producción Agropecuaria, Silvícola y Pesquera",2025,20251,"2025-Q1",728,1,728,0.006102877070619006,0,15.3845747861
1,"Funcionarios, Directores y Jefes",19,"Otros Directores, Funcionarios, Gerentes, Coordinadores y Jefes de Área, no Clasificados",199,"Otros Directores, Funcionarios, Gerentes, Coordinadores y Jefes de Área, no Clasificados Anteriormente","1999","Otros Directores, Funcionarios, Gerentes, Coordinadores y Jefes de Área, no Clasificados Anteriormente",2025,20251,"2025-Q1",40,1,40,0.00033532291596807725,0,9.9423258976
2,"Profesionistas y Técnicos",21,"Especialistas en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",213,"Investigadores y Especialistas en Ciencias Sociales","2135","Abogados",2025,20251,"2025-Q1",494,1,494,0.004141238012205754,0,0.269744181
2,"Profesionistas y Técnicos",25,"Auxiliares y Técnicos en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",251,"Auxiliares en Administración, Contabilidad y Finanzas","2511","Auxiliares en Administración, Mercadotecnia, Comercialización y Comercio Exterior",2025,20251,"2025-Q1",178,0.16339869281045752,25,0.0014921869760579438,153,0.1320553217
2,"Profesionistas y Técnicos",25,"Auxiliares y Técnicos en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",251,"Auxiliares en Administración, Contabilidad y Finanzas","2512","Auxiliares en Contabilidad, Economía, Finanzas y Agentes de Bolsa",2025,20251,"2025-Q1",13,1,13,0.00010897994768962511,0,0.01116788
2,"Profesionistas y Técnicos",26,"Auxiliares y Técnicos en Ciencias Exactas, Biológicas, Ingeniería, Informática y en Telecomunicaciones",261,"Auxiliares y Técnicos en Ciencias Físicas, Matemáticas, Biológicas, Químicas, del Medio Ambiente y Agronómicas","2614","Auxiliares y Técnicos en Veterinaria, Pesca y Forestación",2025,20251,"2025-Q1",157,1,157,0.0013161424451747033,0,1.9263783033
3,"Trabajadores Auxiliares en Actividades Administrativas",31,"Secretarias, Capturistas, Cajeros y Trabajadores de Control de Archivo y Transporte",312,"Cajeros, Cobradores y Pagadores","3121","Cajeros, Taquilleros y Receptores de Apuestas",2025,20251,"2025-Q1",87,1,87,0.000729327342230568,0,0.0633927883
3,"Trabajadores Auxiliares en Actividades Administrativas",31,"Secretarias, Capturistas, Cajeros y Trabajadores de Control de Archivo y Transporte",312,"Cajeros, Cobradores y Pagadores","3122","Cobradores, Pagadores y Prestamistas",2025,20251,"2025-Q1",104,1,104,0.0008718395815170009,0,0.2632054113
3,"Trabajadores Auxiliares en Actividades Administrativas",31,"Secretarias, Capturistas, Cajeros y Trabajadores de Control de Archivo y Transporte",313,"Trabajadores en Archivo y Control de Almacén y Bodega","3132","Encargados y Trabajadores en Control de Almacén y Bodega",2025,20251,"2025-Q1",87,0.06097560975609756,5,0.000729327342230568,82,0.1371203681
3,"Trabajadores Auxiliares en Actividades Administrativas",32,"Trabajadores que Brindan y Manejan Información",322,"Trabajadores en Agencias de Viajes e Información Turística","3222","Guías de Turismo en Museos, Casinos, Parques, Cines y otros Centros Recreativos",2025,20251,"2025-Q1",179,2.4423076923076925,127,0.0015005700489571457,52,4.0729259033
5,"Trabajadores en Servicios Personales y Vigilancia",51,"Trabajadores en la Preparación y Servicio de Alimentos y Bebidas en Establecimientos",510,"Supervisores en la Preparación y Servicio de Alimentos y Bebidas, Así como en Servicios de Esparcimiento y de Hotelería","5101","Supervisores en la Preparación y Servicio de Alimentos y Bebidas, Así como en Servicios de Esparcimiento y de Hotelería",2025,20251,"2025-Q1",35,1,35,0.0002934075514720676,0,1.5350183206
5,"Trabajadores en Servicios Personales y Vigilancia",51,"Trabajadores en la Preparación y Servicio de Alimentos y Bebidas en Establecimientos",511,"Trabajadores en la Preparación y Servicio de Alimentos y Bebidas en Establecimientos","5111","Cocineros",2025,20251,"2025-Q1",95,-0.8665730337078652,-617,0.0007963919254241835,712,0.4437231763
5,"Trabajadores en Servicios Personales y Vigilancia",53,"Trabajadores en Servicios de Protección y Vigilancia",531,"Trabajadores en Servicios de Protección y Vigilancia","5311","Bomberos",2025,20251,"2025-Q1",88,1,88,0.00073771041512977,0,1.0904966845
5,"Trabajadores en Servicios Personales y Vigilancia",53,"Trabajadores en Servicios de Protección y Vigilancia",531,"Trabajadores en Servicios de Protección y Vigilancia","5313","Vigilantes y Guardias en Establecimientos",2025,20251,"2025-Q1",217,0.3231707317073171,53,0.0018191268191268192,164,0.0775332709
6,"Trabajadores en Actividades Agrícolas, Ganaderas, Forestales, Caza y Pesca",62,"Trabajadores en Actividades Pesqueras, Forestales, Caza y Similares",621,"Trabajadores en Actividades Pesqueras y de Acuacultura","6211","Trabajadores en Actividades Pesqueras",2025,20251,"2025-Q1",95081,0.05342403527626054,4822,0.7970709543290189,90259,230.6470624839
6,"Trabajadores en Actividades Agrícolas, Ganaderas, Forestales, Caza y Pesca",62,"Trabajadores en Actividades Pesqueras, Forestales, Caza y Similares",621,"Trabajadores en Actividades Pesqueras y de Acuacultura","6213","Trabajadores en Actividades de Beneficio de Productos Pesqueros o Acuícolas",2025,20251,"2025-Q1",1967,1.4465174129353233,1163,0.016489504392730198,804,141.8200225477
6,"Trabajadores en Actividades Agrícolas, Ganaderas, Forestales, Caza y Pesca",62,"Trabajadores en Actividades Pesqueras, Forestales, Caza y Similares",623,"Trabajadores en Actividades de Caza, Trampería y Similares","6231","Trabajadores en Actividades de Caza, Trampería y Similares",2025,20251,"2025-Q1",2421,0.28298887122416533,534,0.020295419488967875,1887,192.6621931487
7,"Trabajadores Artesanales",71,"Trabajadores en la Extracción y la Edificación de Construcciones",711,"Trabajadores en la Extracción","7113","Dinamiteros y Buzos en Perforación de Pozos y en la Construcción",2025,20251,"2025-Q1",2926,1,2926,0.02452887130306485,0,96.4465028358
7,"Trabajadores Artesanales",75,"Trabajadores en la Elaboración y Procesamiento de Alimentos, Bebidas y Productos de Tabaco",751,"Trabajadores en la Elaboración y Procesamiento de Alimentos, Bebidas y Productos de Tabaco","7511","Trabajadores en la Elaboración de Productos de Carne, Pescado y sus Derivados",2025,20251,"2025-Q1",776,-0.4372733865119652,-603,0.0065052645697806985,1379,0.8860579356
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",831,"Conductores de Transporte Aéreo","8311","Pilotos de Aviación",2025,20251,"2025-Q1",338,1,338,0.002833478639930253,0,102.6209611717
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",832,"Conductores de Transporte Marítimo","8321","Capitanes y Conductores de Transporte Marítimo",2025,20251,"2025-Q1",191,-0.9378659726740404,-2883,0.001601166923747569,3074,32.9213786772
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",832,"Conductores de Transporte Marítimo","8322","Oficiales y Marineros de Cubierta y Prácticos",2025,20251,"2025-Q1",1757,12.944444444444445,1631,0.014729059083897794,126,150.5808108875
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",832,"Conductores de Transporte Marítimo","8323","Oficiales Maquinistas de Transporte Marítimo",2025,20251,"2025-Q1",177,0.08588957055214724,14,0.001483803903158742,163,94.9146903572
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",832,"Conductores de Transporte Marítimo","8324","Conductores de Pequeñas Embarcaciones (Lanchas, Botes, Trajineras, Etcétera)",2025,20251,"2025-Q1",471,1.1906976744186046,256,0.003948427335524109,215,84.8445311805
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",834,"Conductores de Transporte Terrestre con Motor","8341","Conductores de Camiones, Camionetas y Automóviles de Carga",2025,20251,"2025-Q1",87,-0.8901515151515151,-705,0.000729327342230568,792,0.075512892
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",834,"Conductores de Transporte Terrestre con Motor","8342","Conductores de Autobuses, Camiones, Camionetas, Taxis y Automóviles de Pasajeros",2025,20251,"2025-Q1",361,1,361,0.0030262893166118974,0,2.0316275739
8,"Operadores de Maquinaria Industrial, Ensambladores, Choferes y Conductores de Transporte",83,"Conductores de Transporte y de Maquinaria Móvil",834,"Conductores de Transporte Terrestre con Motor","8344","Conductores de Motocicleta",2025,20251,"2025-Q1",422,1,422,0.003537656763463215,0,1.4709214971
9,"Trabajadores en Actividades Elementales y de Apoyo",91,"Trabajadores de Apoyo en Actividades Agropecuarias, Forestales, Pesca y Caza",912,"Trabajadores de Apoyo en Actividades Forestales, Pesca y Caza","9122","Trabajadores de Apoyo en Actividades de Acuicultura y Pesca",2025,20251,"2025-Q1",8127,0.6048578199052133,3063,0.0681292334518141,5064,171.7764492589
9,"Trabajadores en Actividades Elementales y de Apoyo",92,"Trabajadores de Apoyo en la Minería, Construcción e Industria",923,"Trabajadores de Apoyo en la Industria","9236","Trabajadores de Apoyo en la Industria de Alimentos, Bebidas y Productos de Tabaco",2025,20251,"2025-Q1",81,-0.7574850299401198,-253,0.0006790289048353564,334,0.3050188834
9,"Trabajadores en Actividades Elementales y de Apoyo",95,"Vendedores Ambulantes",951,"Vendedores Ambulantes (Excluyendo los de Venta de Alimentos)","9512","Vendedores Ambulantes de Artículos Diversos (Excluyendo los de Venta de Alimentos)",2025,20251,"2025-Q1",42,1,42,0.0003520890617664811,0,0.0164475145
9,"Trabajadores en Actividades Elementales y de Apoyo",95,"Vendedores Ambulantes",952,"Vendedores Ambulantes de Alimentos","9521","Preparadores y Vendedores Ambulantes de Alimentos",2025,20251,"2025-Q1",716,-0.6751361161524501,-1488,0.006002280195828583,2204,0.4132533261